A1,A4,A5,A6,A8,A9,A11,A12,A15,A2_bins,A3_bins,A7_bins,A10_bins,A13_bins,A14_bins
1,2,7,4,1,1,0,2,1,"(38.741, 41.453]","(9.432, 11.0]","(2.0, 28.5]","(7.0, 67.0]","(186.8, 300.0]","(6.0, 100001.0]"
1,2,8,4,1,1,1,2,1,"(24.58, 26.056]","(0.247, 0.5]","(0.29, 2.0]","(3.0, 7.0]","(300.0, 2000.0]","(0.999, 6.0]"
0,2,8,4,1,1,1,2,1,"(41.453, 47.415]","(2.5, 3.0]","(2.0, 28.5]","(7.0, 67.0]","(300.0, 2000.0]","(6.0, 100001.0]"
1,1,4,8,1,0,1,2,0,"(18.17, 19.67]","(9.432, 11.0]","(0.29, 2.0]","(-0.001, 1.0]","(120.0, 186.8]","(0.999, 6.0]"
0,1,1,1,0,0,0,2,0,"(21.08, 22.5]","(1.084, 1.5]","(2.0, 28.5]","(-0.001, 1.0]","(186.8, 300.0]","(0.999, 6.0]"
1,1,1,1,0,0,1,2,0,"(18.17, 19.67]","(3.0, 4.016]","(-0.001, 0.29]","(-0.001, 1.0]","(120.0, 186.8]","(0.999, 6.0]"
1,2,14,8,1,1,1,2,1,"(54.372, 80.25]","(13.0, 28.0]","(2.0, 28.5]","(7.0, 67.0]","(-0.001, 27.2]","(6.0, 100001.0]"
0,2,11,4,0,1,0,2,0,"(13.749, 18.17]","(1.084, 1.5]","(-0.001, 0.29]","(-0.001, 1.0]","(27.2, 120.0]","(6.0, 100001.0]"
0,2,10,9,1,1,0,2,1,"(54.372, 80.25]","(13.0, 28.0]","(-0.001, 0.29]","(7.0, 67.0]","(-0.001, 27.2]","(6.0, 100001.0]"
1,2,10,9,1,1,1,2,1,"(54.372, 80.25]","(13.0, 28.0]","(2.0, 28.5]","(-0.001, 1.0]","(-0.001, 27.2]","(6.0, 100001.0]"
0,2,11,4,0,0,0,2,0,"(13.749, 18.17]","(2.5, 3.0]","(-0.001, 0.29]","(-0.001, 1.0]","(27.2, 120.0]","(0.999, 6.0]"
1,2,2,5,1,0,1,2,0,"(33.566, 35.31]","(3.0, 4.016]","(2.0, 28.5]","(-0.001, 1.0]","(120.0, 186.8]","(0.999, 6.0]"
0,2,10,5,1,1,0,2,1,"(47.415, 54.372]","(6.75, 9.432]","(2.0, 28.5]","(3.0, 7.0]","(300.0, 2000.0]","(6.0, 100001.0]"
1,2,8,4,0,0,0,3,1,"(22.5, 23.25]","(-0.001, 0.247]","(-0.001, 0.29]","(-0.001, 1.0]","(120.0, 186.8]","(0.999, 6.0]"
1,2,8,4,1,0,1,2,0,"(41.453, 47.415]","(1.084, 1.5]","(2.0, 28.5]","(-0.001, 1.0]","(120.0, 186.8]","(0.999, 6.0]"
1,2,10,4,0,0,0,2,0,"(13.749, 18.17]","(6.75, 9.432]","(0.29, 2.0]","(-0.001, 1.0]","(300.0, 2000.0]","(0.999, 6.0]"
1,1,8,4,0,1,0,2,0,"(18.17, 19.67]","(0.247, 0.5]","(-0.001, 0.29]","(-0.001, 1.0]","(186.8, 300.0]","(0.999, 6.0]"
1,2,4,4,1,1,0,2,1,"(47.415, 54.372]","(5.055, 6.75]","(2.0, 28.5]","(7.0, 67.0]","(-0.001, 27.2]","(6.0, 100001.0]"
1,1,7,5,0,0,1,1,1,"(18.17, 19.67]","(-0.001, 0.247]","(-0.001, 0.29]","(-0.001, 1.0]","(300.0, 2000.0]","(0.999, 6.0]"
1,2,11,7,0,0,0,2,1,"(13.749, 18.17]","(-0.001, 0.247]","(-0.001, 0.29]","(-0.001, 1.0]","(186.8, 300.0]","(6.0, 100001.0]"
1,2,10,4,0,0,0,2,0,"(35.31, 38.741]","(0.75, 1.084]","(-0.001, 0.29]","(-0.001, 1.0]","(27.2, 120.0]","(0.999, 6.0]"
1,1,9,4,1,1,0,2,1,"(22.5, 23.25]","(1.5, 1.934]","(2.0, 28.5]","(3.0, 7.0]","(27.2, 120.0]","(0.999, 6.0]"
1,2,14,5,0,0,1,2,0,"(47.415, 54.372]","(4.016, 5.055]","(-0.001, 0.29]","(-0.001, 1.0]","(300.0, 2000.0]","(0.999, 6.0]"
1,2,8,4,0,0,0,2,0,"(33.566, 35.31]","(1.934, 2.5]","(0.29, 2.0]","(-0.001, 1.0]","(300.0, 2000.0]","(6.0, 100001.0]"
0,2,2,4,0,0,1,2,0,"(31.57, 33.566]","(1.5, 1.934]","(0.29, 2.0]","(-0.001, 1.0]","(-0.001, 27.2]","(0.999, 6.0]"
1,1,8,4,1,1,1,2,1,"(41.453, 47.415]","(0.247, 0.5]","(0.29, 2.0]","(7.0, 67.0]","(186.8, 300.0]","(6.0, 100001.0]"
1,1,3,5,1,1,1,2,1,"(33.566, 35.31]","(4.016, 5.055]","(2.0, 28.5]","(3.0, 7.0]","(186.8, 300.0]","(0.999, 6.0]"
1,2,3,5,1,0,0,2,0,"(41.453, 47.415]","(2.5, 3.0]","(0.29, 2.0]","(-0.001, 1.0]","(-0.001, 27.2]","(6.0, 100001.0]"
1,2,2,4,0,0,1,1,0,"(18.17, 19.67]","(-0.001, 0.247]","(-0.001, 0.29]","(-0.001, 1.0]","(186.8, 300.0]","(0.999, 6.0]"
1,2,1,1,0,0,1,2,0,"(22.5, 23.25]","(1.934, 2.5]","(-0.001, 0.29]","(-0.001, 1.0]","(27.2, 120.0]","(6.0, 100001.0]"
0,1,14,4,0,0,0,2,1,"(21.08, 22.5]","(6.75, 9.432]","(2.0, 28.5]","(-0.001, 1.0]","(120.0, 186.8]","(0.999, 6.0]"
1,2,6,4,0,0,0,2,0,"(13.749, 18.17]","(-0.001, 0.247]","(-0.001, 0.29]","(-0.001, 1.0]","(186.8, 300.0]","(6.0, 100001.0]"
1,1,6,4,1,0,0,2,0,"(18.17, 19.67]","(9.432, 11.0]","(-0.001, 0.29]","(-0.001, 1.0]","(27.2, 120.0]","(6.0, 100001.0]"
0,2,7,4,1,0,0,1,0,"(26.056, 27.83]","(1.084, 1.5]","(0.29, 2.0]","(-0.001, 1.0]","(300.0, 2000.0]","(0.999, 6.0]"
0,1,8,4,1,1,1,2,1,"(18.17, 19.67]","(6.75, 9.432]","(0.29, 2.0]","(3.0, 7.0]","(27.2, 120.0]","(6.0, 100001.0]"
1,2,3,4,0,1,1,2,0,"(22.5, 23.25]","(0.5, 0.75]","(0.29, 2.0]","(-0.001, 1.0]","(300.0, 2000.0]","(6.0, 100001.0]"
1,1,8,8,1,0,0,2,0,"(54.372, 80.25]","(11.0, 13.0]","(2.0, 28.5]","(-0.001, 1.0]","(27.2, 120.0]","(0.999, 6.0]"
0,2,11,4,1,1,1,2,1,"(23.25, 24.58]","(6.75, 9.432]","(2.0, 28.5]","(3.0, 7.0]","(27.2, 120.0]","(0.999, 6.0]"
1,2,14,8,1,0,1,2,0,"(33.566, 35.31]","(3.0, 4.016]","(2.0, 28.5]","(-0.001, 1.0]","(300.0, 2000.0]","(0.999, 6.0]"
0,1,1,1,0,0,1,2,0,"(54.372, 80.25]","(4.016, 5.055]","(2.0, 28.5]","(-0.001, 1.0]","(-0.001, 27.2]","(0.999, 6.0]"
0,2,1,1,0,0,1,1,0,"(47.415, 54.372]","(-0.001, 0.247]","(-0.001, 0.29]","(-0.001, 1.0]","(27.2, 120.0]","(6.0, 100001.0]"
1,2,13,8,1,1,0,2,1,"(38.741, 41.453]","(4.016, 5.055]","(2.0, 28.5]","(7.0, 67.0]","(300.0, 2000.0]","(0.999, 6.0]"
1,2,11,8,1,0,1,2,1,"(41.453, 47.415]","(4.016, 5.055]","(2.0, 28.5]","(-0.001, 1.0]","(27.2, 120.0]","(0.999, 6.0]"
1,1,9,4,0,0,0,2,0,"(38.741, 41.453]","(1.084, 1.5]","(-0.001, 0.29]","(-0.001, 1.0]","(-0.001, 27.2]","(6.0, 100001.0]"
0,2,4,5,1,1,1,2,0,"(33.566, 35.31]","(0.5, 0.75]","(0.29, 2.0]","(1.0, 3.0]","(186.8, 300.0]","(0.999, 6.0]"
1,2,13,4,1,1,1,2,1,"(24.58, 26.056]","(11.0, 13.0]","(0.29, 2.0]","(7.0, 67.0]","(120.0, 186.8]","(6.0, 100001.0]"
1,1,2,4,1,0,1,1,1,"(23.25, 24.58]","(5.055, 6.75]","(2.0, 28.5]","(-0.001, 1.0]","(27.2, 120.0]","(0.999, 6.0]"
1,1,9,4,1,0,1,2,1,"(23.25, 24.58]","(11.0, 13.0]","(0.29, 2.0]","(-0.001, 1.0]","(120.0, 186.8]","(6.0, 100001.0]"
1,2,13,8,0,0,1,1,0,"(29.649, 31.57]","(1.934, 2.5]","(2.0, 28.5]","(-0.001, 1.0]","(300.0, 2000.0]","(0.999, 6.0]"
1,2,8,5,1,0,1,1,0,"(35.31, 38.741]","(3.0, 4.016]","(2.0, 28.5]","(-0.001, 1.0]","(186.8, 300.0]","(0.999, 6.0]"
1,2,9,4,0,0,0,2,0,"(26.056, 27.83]","(1.5, 1.934]","(-0.001, 0.29]","(-0.001, 1.0]","(27.2, 120.0]","(0.999, 6.0]"
0,2,9,4,0,0,1,2,0,"(29.649, 31.57]","(0.5, 0.75]","(-0.001, 0.29]","(-0.001, 1.0]","(186.8, 300.0]","(0.999, 6.0]"
0,2,5,3,0,1,0,2,0,"(22.5, 23.25]","(1.5, 1.934]","(-0.001, 0.29]","(-0.001, 1.0]","(186.8, 300.0]","(6.0, 100001.0]"
1,2,4,4,0,0,1,2,0,"(13.749, 18.17]","(2.5, 3.0]","(-0.001, 0.29]","(-0.001, 1.0]","(120.0, 186.8]","(6.0, 100001.0]"
1,2,6,4,1,1,1,2,1,"(27.83, 29.649]","(13.0, 28.0]","(2.0, 28.5]","(3.0, 7.0]","(120.0, 186.8]","(0.999, 6.0]"
0,2,3,5,1,0,1,2,0,"(27.83, 29.649]","(3.0, 4.016]","(0.29, 2.0]","(-0.001, 1.0]","(120.0, 186.8]","(0.999, 6.0]"
1,2,8,4,0,0,0,3,0,"(33.566, 35.31]","(-0.001, 0.247]","(-0.001, 0.29]","(-0.001, 1.0]","(120.0, 186.8]","(0.999, 6.0]"
1,2,8,8,1,0,0,2,0,"(23.25, 24.58]","(0.5, 0.75]","(-0.001, 0.29]","(-0.001, 1.0]","(120.0, 186.8]","(0.999, 6.0]"
1,2,8,4,1,1,0,2,1,"(24.58, 26.056]","(11.0, 13.0]","(2.0, 28.5]","(7.0, 67.0]","(186.8, 300.0]","(6.0, 100001.0]"
0,2,11,4,1,1,0,2,1,"(18.17, 19.67]","(6.75, 9.432]","(2.0, 28.5]","(3.0, 7.0]","(120.0, 186.8]","(6.0, 100001.0]"
1,2,11,4,0,1,0,2,0,"(13.749, 18.17]","(0.247, 0.5]","(0.29, 2.0]","(3.0, 7.0]","(120.0, 186.8]","(6.0, 100001.0]"
0,2,1,1,0,1,0,2,0,"(13.749, 18.17]","(0.247, 0.5]","(-0.001, 0.29]","(-0.001, 1.0]","(120.0, 186.8]","(6.0, 100001.0]"
1,2,6,4,0,1,1,2,0,"(31.57, 33.566]","(1.934, 2.5]","(0.29, 2.0]","(1.0, 3.0]","(300.0, 2000.0]","(0.999, 6.0]"
0,2,8,8,1,1,0,2,1,"(19.67, 21.08]","(9.432, 11.0]","(0.29, 2.0]","(3.0, 7.0]","(27.2, 120.0]","(6.0, 100001.0]"
0,1,5,3,0,0,0,2,0,"(21.08, 22.5]","(1.5, 1.934]","(-0.001, 0.29]","(-0.001, 1.0]","(120.0, 186.8]","(0.999, 6.0]"
1,2,12,8,1,0,1,2,1,"(31.57, 33.566]","(0.75, 1.084]","(2.0, 28.5]","(-0.001, 1.0]","(120.0, 186.8]","(6.0, 100001.0]"
0,2,8,8,1,0,1,2,0,"(24.58, 26.056]","(1.934, 2.5]","(2.0, 28.5]","(-0.001, 1.0]","(300.0, 2000.0]","(0.999, 6.0]"
0,2,11,8,1,1,0,2,1,"(24.58, 26.056]","(2.5, 3.0]","(0.29, 2.0]","(7.0, 67.0]","(-0.001, 27.2]","(6.0, 100001.0]"
1,2,9,4,1,1,0,2,1,"(29.649, 31.57]","(-0.001, 0.247]","(0.29, 2.0]","(-0.001, 1.0]","(186.8, 300.0]","(0.999, 6.0]"
1,1,5,4,0,0,0,2,0,"(19.67, 21.08]","(5.055, 6.75]","(-0.001, 0.29]","(-0.001, 1.0]","(120.0, 186.8]","(6.0, 100001.0]"
0,1,4,4,0,1,0,2,0,"(38.741, 41.453]","(6.75, 9.432]","(-0.001, 0.29]","(1.0, 3.0]","(120.0, 186.8]","(6.0, 100001.0]"
1,2,8,8,0,1,1,2,0,"(27.83, 29.649]","(1.084, 1.5]","(-0.001, 0.29]","(1.0, 3.0]","(300.0, 2000.0]","(6.0, 100001.0]"
1,1,7,4,0,0,1,2,0,"(38.741, 41.453]","(0.247, 0.5]","(0.29, 2.0]","(-0.001, 1.0]","(120.0, 186.8]","(0.999, 6.0]"
0,2,4,4,1,1,0,2,1,"(27.83, 29.649]","(0.247, 0.5]","(0.29, 2.0]","(3.0, 7.0]","(300.0, 2000.0]","(6.0, 100001.0]"
1,1,4,8,1,0,0,2,1,"(54.372, 80.25]","(0.247, 0.5]","(2.0, 28.5]","(-0.001, 1.0]","(120.0, 186.8]","(6.0, 100001.0]"
1,1,8,4,0,0,1,2,0,"(33.566, 35.31]","(5.055, 6.75]","(0.29, 2.0]","(-0.001, 1.0]","(27.2, 120.0]","(0.999, 6.0]"
1,2,4,4,1,1,1,2,0,"(24.58, 26.056]","(11.0, 13.0]","(2.0, 28.5]","(1.0, 3.0]","(27.2, 120.0]","(0.999, 6.0]"
0,1,1,1,0,0,1,2,0,"(26.056, 27.83]","(2.5, 3.0]","(-0.001, 0.29]","(-0.001, 1.0]","(120.0, 186.8]","(6.0, 100001.0]"
0,2,11,8,1,1,0,2,1,"(31.57, 33.566]","(4.016, 5.055]","(0.29, 2.0]","(1.0, 3.0]","(-0.001, 27.2]","(0.999, 6.0]"
1,2,8,4,0,0,0,3,0,"(33.566, 35.31]","(1.934, 2.5]","(0.29, 2.0]","(-0.001, 1.0]","(27.2, 120.0]","(0.999, 6.0]"
1,2,3,5,0,0,0,2,0,"(35.31, 38.741]","(5.055, 6.75]","(2.0, 28.5]","(-0.001, 1.0]","(186.8, 300.0]","(6.0, 100001.0]"
1,2,4,4,0,0,0,2,0,"(18.17, 19.67]","(0.247, 0.5]","(-0.001, 0.29]","(-0.001, 1.0]","(186.8, 300.0]","(6.0, 100001.0]"
1,2,11,4,1,1,1,2,1,"(23.25, 24.58]","(0.75, 1.084]","(2.0, 28.5]","(1.0, 3.0]","(300.0, 2000.0]","(6.0, 100001.0]"
0,2,8,5,1,1,1,2,1,"(29.649, 31.57]","(5.055, 6.75]","(2.0, 28.5]","(3.0, 7.0]","(-0.001, 27.2]","(6.0, 100001.0]"
1,2,8,4,0,0,0,2,0,"(19.67, 21.08]","(6.75, 9.432]","(0.29, 2.0]","(-0.001, 1.0]","(-0.001, 27.2]","(0.999, 6.0]"
1,2,8,4,1,1,1,2,1,"(24.58, 26.056]","(0.5, 0.75]","(-0.001, 0.29]","(3.0, 7.0]","(27.2, 120.0]","(6.0, 100001.0]"
1,2,7,4,0,1,1,2,0,"(27.83, 29.649]","(4.016, 5.055]","(0.29, 2.0]","(-0.001, 1.0]","(300.0, 2000.0]","(6.0, 100001.0]"
1,2,3,5,1,0,0,2,0,"(41.453, 47.415]","(1.934, 2.5]","(0.29, 2.0]","(-0.001, 1.0]","(300.0, 2000.0]","(0.999, 6.0]"
1,2,4,4,1,0,0,1,0,"(27.83, 29.649]","(1.084, 1.5]","(0.29, 2.0]","(-0.001, 1.0]","(186.8, 300.0]","(0.999, 6.0]"
1,1,3,5,0,0,0,2,0,"(29.649, 31.57]","(2.5, 3.0]","(2.0, 28.5]","(-0.001, 1.0]","(-0.001, 27.2]","(0.999, 6.0]"
1,2,10,2,1,0,0,2,1,"(19.67, 21.08]","(9.432, 11.0]","(-0.001, 0.29]","(-0.001, 1.0]","(-0.001, 27.2]","(0.999, 6.0]"
1,2,13,8,1,1,1,2,1,"(41.453, 47.415]","(6.75, 9.432]","(2.0, 28.5]","(-0.001, 1.0]","(27.2, 120.0]","(6.0, 100001.0]"
0,2,11,8,1,1,1,2,1,"(22.5, 23.25]","(1.934, 2.5]","(2.0, 28.5]","(3.0, 7.0]","(120.0, 186.8]","(6.0, 100001.0]"
0,2,11,4,1,1,0,2,1,"(19.67, 21.08]","(2.5, 3.0]","(-0.001, 0.29]","(1.0, 3.0]","(27.2, 120.0]","(6.0, 100001.0]"
1,2,9,4,0,1,1,2,0,"(26.056, 27.83]","(1.084, 1.5]","(2.0, 28.5]","(-0.001, 1.0]","(27.2, 120.0]","(0.999, 6.0]"
1,1,14,8,1,0,1,2,0,"(38.741, 41.453]","(1.934, 2.5]","(2.0, 28.5]","(-0.001, 1.0]","(120.0, 186.8]","(0.999, 6.0]"
1,1,8,4,1,1,0,2,1,"(54.372, 80.25]","(13.0, 28.0]","(2.0, 28.5]","(7.0, 67.0]","(-0.001, 27.2]","(6.0, 100001.0]"
0,2,1,1,1,1,0,2,1,"(54.372, 80.25]","(-0.001, 0.247]","(-0.001, 0.29]","(-0.001, 1.0]","(186.8, 300.0]","(6.0, 100001.0]"
0,1,14,8,1,1,0,2,1,"(21.08, 22.5]","(11.0, 13.0]","(0.29, 2.0]","(3.0, 7.0]","(-0.001, 27.2]","(6.0, 100001.0]"
0,1,3,5,0,0,0,2,0,"(23.25, 24.58]","(1.934, 2.5]","(2.0, 28.5]","(-0.001, 1.0]","(186.8, 300.0]","(6.0, 100001.0]"
0,2,1,1,0,0,0,1,0,"(54.372, 80.25]","(5.055, 6.75]","(-0.001, 0.29]","(-0.001, 1.0]","(-0.001, 27.2]","(0.999, 6.0]"
1,2,4,4,0,0,1,2,0,"(35.31, 38.741]","(0.5, 0.75]","(0.29, 2.0]","(-0.001, 1.0]","(186.8, 300.0]","(0.999, 6.0]"
1,2,7,4,1,0,0,1,1,"(47.415, 54.372]","(11.0, 13.0]","(2.0, 28.5]","(-0.001, 1.0]","(27.2, 120.0]","(0.999, 6.0]"
0,1,10,9,1,0,0,2,1,"(27.83, 29.649]","(13.0, 28.0]","(-0.001, 0.29]","(-0.001, 1.0]","(-0.001, 27.2]","(6.0, 100001.0]"
1,2,4,4,1,1,0,2,1,"(33.566, 35.31]","(1.934, 2.5]","(2.0, 28.5]","(3.0, 7.0]","(120.0, 186.8]","(6.0, 100001.0]"
1,2,3,5,1,1,1,2,1,"(47.415, 54.372]","(6.75, 9.432]","(2.0, 28.5]","(7.0, 67.0]","(-0.001, 27.2]","(6.0, 100001.0]"
1,2,8,4,1,0,0,2,0,"(54.372, 80.25]","(5.055, 6.75]","(0.29, 2.0]","(-0.001, 1.0]","(-0.001, 27.2]","(6.0, 100001.0]"
1,2,2,8,0,0,0,2,0,"(27.83, 29.649]","(11.0, 13.0]","(0.29, 2.0]","(-0.001, 1.0]","(186.8, 300.0]","(0.999, 6.0]"
0,2,3,4,0,1,1,2,0,"(13.749, 18.17]","(0.247, 0.5]","(-0.001, 0.29]","(3.0, 7.0]","(186.8, 300.0]","(6.0, 100001.0]"
0,2,6,4,0,1,1,2,0,"(13.749, 18.17]","(-0.001, 0.247]","(0.29, 2.0]","(1.0, 3.0]","(300.0, 2000.0]","(0.999, 6.0]"
1,2,1,1,1,1,1,2,1,"(54.372, 80.25]","(13.0, 28.0]","(2.0, 28.5]","(7.0, 67.0]","(-0.001, 27.2]","(6.0, 100001.0]"
1,2,4,8,1,1,1,2,1,"(27.83, 29.649]","(1.934, 2.5]","(2.0, 28.5]","(1.0, 3.0]","(120.0, 186.8]","(0.999, 6.0]"
1,2,3,5,0,0,0,2,1,"(41.453, 47.415]","(1.5, 1.934]","(2.0, 28.5]","(-0.001, 1.0]","(186.8, 300.0]","(0.999, 6.0]"
1,2,6,4,0,0,1,2,0,"(23.25, 24.58]","(6.75, 9.432]","(-0.001, 0.29]","(-0.001, 1.0]","(-0.001, 27.2]","(0.999, 6.0]"
1,1,6,4,0,0,1,2,0,"(23.25, 24.58]","(13.0, 28.0]","(-0.001, 0.29]","(-0.001, 1.0]","(27.2, 120.0]","(6.0, 100001.0]"
1,2,12,7,1,1,1,2,1,"(33.566, 35.31]","(13.0, 28.0]","(2.0, 28.5]","(7.0, 67.0]","(-0.001, 27.2]","(6.0, 100001.0]"
1,2,9,4,0,0,0,2,0,"(33.566, 35.31]","(1.084, 1.5]","(0.29, 2.0]","(-0.001, 1.0]","(27.2, 120.0]","(0.999, 6.0]"
0,2,11,8,1,0,0,2,1,"(38.741, 41.453]","(9.432, 11.0]","(0.29, 2.0]","(-0.001, 1.0]","(27.2, 120.0]","(6.0, 100001.0]"
1,2,8,4,1,1,0,2,1,"(19.67, 21.08]","(1.5, 1.934]","(2.0, 28.5]","(-0.001, 1.0]","(27.2, 120.0]","(6.0, 100001.0]"
1,1,2,4,0,0,1,2,1,"(35.31, 38.741]","(1.084, 1.5]","(0.29, 2.0]","(-0.001, 1.0]","(300.0, 2000.0]","(0.999, 6.0]"
1,2,7,4,1,0,1,2,1,"(47.415, 54.372]","(4.016, 5.055]","(-0.001, 0.29]","(-0.001, 1.0]","(186.8, 300.0]","(0.999, 6.0]"
1,2,7,4,0,0,1,1,0,"(22.5, 23.25]","(0.5, 0.75]","(0.29, 2.0]","(-0.001, 1.0]","(300.0, 2000.0]","(0.999, 6.0]"
1,2,8,8,0,0,1,2,0,"(33.566, 35.31]","(3.0, 4.016]","(2.0, 28.5]","(-0.001, 1.0]","(-0.001, 27.2]","(0.999, 6.0]"
1,2,6,4,0,1,0,2,0,"(13.749, 18.17]","(2.5, 3.0]","(0.29, 2.0]","(-0.001, 1.0]","(27.2, 120.0]","(6.0, 100001.0]"
1,2,11,8,1,0,0,2,1,"(22.5, 23.25]","(9.432, 11.0]","(0.29, 2.0]","(-0.001, 1.0]","(27.2, 120.0]","(0.999, 6.0]"
0,2,8,4,0,0,1,2,0,"(21.08, 22.5]","(11.0, 13.0]","(-0.001, 0.29]","(-0.001, 1.0]","(120.0, 186.8]","(0.999, 6.0]"
0,1,6,4,1,0,1,2,1,"(24.58, 26.056]","(2.5, 3.0]","(-0.001, 0.29]","(-0.001, 1.0]","(300.0, 2000.0]","(0.999, 6.0]"
1,1,9,4,1,1,0,2,1,"(35.31, 38.741]","(1.934, 2.5]","(-0.001, 0.29]","(-0.001, 1.0]","(27.2, 120.0]","(6.0, 100001.0]"
0,2,8,4,0,1,1,2,0,"(27.83, 29.649]","(3.0, 4.016]","(-0.001, 0.29]","(-0.001, 1.0]","(27.2, 120.0]","(6.0, 100001.0]"
1,2,8,4,0,1,1,2,0,"(21.08, 22.5]","(11.0, 13.0]","(2.0, 28.5]","(1.0, 3.0]","(120.0, 186.8]","(6.0, 100001.0]"
1,2,13,4,1,1,1,2,1,"(33.566, 35.31]","(1.5, 1.934]","(0.29, 2.0]","(-0.001, 1.0]","(300.0, 2000.0]","(6.0, 100001.0]"
1,2,3,4,0,0,1,2,0,"(33.566, 35.31]","(1.934, 2.5]","(0.29, 2.0]","(-0.001, 1.0]","(186.8, 300.0]","(0.999, 6.0]"
1,2,6,4,0,0,1,2,0,"(27.83, 29.649]","(3.0, 4.016]","(-0.001, 0.29]","(-0.001, 1.0]","(27.2, 120.0]","(0.999, 6.0]"
0,2,3,8,0,0,0,2,0,"(18.17, 19.67]","(5.055, 6.75]","(-0.001, 0.29]","(-0.001, 1.0]","(27.2, 120.0]","(6.0, 100001.0]"
1,2,8,4,1,0,0,1,1,"(22.5, 23.25]","(0.75, 1.084]","(0.29, 2.0]","(-0.001, 1.0]","(186.8, 300.0]","(0.999, 6.0]"
1,2,8,4,0,0,0,2,0,"(13.749, 18.17]","(-0.001, 0.247]","(-0.001, 0.29]","(-0.001, 1.0]","(120.0, 186.8]","(0.999, 6.0]"
0,2,11,4,0,1,0,2,1,"(19.67, 21.08]","(-0.001, 0.247]","(0.29, 2.0]","(-0.001, 1.0]","(186.8, 300.0]","(6.0, 100001.0]"
1,2,9,4,1,1,0,2,1,"(21.08, 22.5]","(9.432, 11.0]","(0.29, 2.0]","(-0.001, 1.0]","(27.2, 120.0]","(6.0, 100001.0]"
